8,Title,Address,latitude,longitude,Category
1,Noida Electrical Home,"Noida Rd, D Block, Sector 10, Noida, Uttar Pradesh 201301",28.5920608,77.3347282,Electric Consultant
2,Gupta Electrician,"Noida-Dadri Rd, Noida Special Economy Zone, Block A, Phase-2, Noida, Uttar Pradesh 201305",28.5411141,77.4022912,Electric Consultant
3,Sah Electrical Works,"Mate Wali Gali,Hosiyarpur,Main Road, Noida, Uttar Pradesh 201301",28.582997,77.368281,Electric Consultant
5,Tata Sky And Videoc,"Dada Main Rd, Block A, Kulesara, Noida, Uttar Pradesh 201305",28.5307591,77.4318297,Electric Consultant
6,Electrician in Green F...,". N.V. Electrical, main road, opp. Shyam Tailor, Dayal Nagar, Faridabad, Haryana",28.474282,77.3012018,Electric Consultant
7,Rahul electrician,"RahuA-148ground floor, Christian Colony Rd, Patel Chest, Near, New Delhi, Delhi 110009",28.6919664,77.2067279,Electric Consultant
B,Raju E- Rikshaw,"Vill, Gejha,Sector 93, Noida, Uttar Pradesh 201304",28.52642,77.366996,Electric Consultant
9,Electrician in jarnia n.,", R-271, Nai Basti, Part 1 Abul Fazal Enclave, Block C, Jamia Nagar, Okhla, New Delhi, Delhi110025",28.560406,77.2944548,Electric Consultant
10,St Electrical,"f 309, F-309, Sector 63, Noida, Uttar Pradesh 201307",28.6211756,77.3888131,Electric Consultant
