#,Title,Address,latitude,longitude,Category
1,Pandit lee Electrician,"H. NO, 617, Sector 29, Noida, Uttar Pradesh 201301",28.5704982,77.3376216, Electric Consultant
2,Ravi Electrician Patpa,,28.6286725,77.3021315, Electric Consultant
3,DEV ELECTRICALS,"C - 96, Sector - 04, noida, Noida, Uttar Pradesh 201301",28.5860625,77.3223372, Electric Consultant
4,Chauhan Electricals,"Main Dadri Road, Salarpur Gate, Bhatta Colony, Near Agganval Tent House, Bhangel, Noida, Uttar Prudes",28.5418297,77.3882023, Electric Consultant
5,Jangpura Electricians,"12, Sarnman Bazar Rd, Jangpura, Samman Bazar, Shogal, Jangpura, New Delhi, Delhi 110014",28.5832663,77.2479498, Electric Consultant
6,Radhe Radhe Electric,". Kheri mod Gali no:1 Shop no:1, Kheri Rd, Sector 89, Faridabad, Haryana 121002",28.4174199,77.3681021, Electric Consultant
7,Bobby Electrician,"SC-105, Jaipuria Sunrise Plaza, Indirapuram, Ghaziabad, Uttar Pradesh 201014",28.643974,77.374354, Electric Consultant
8,Electrical shop in Noi,". A47, pocket 55 Sector 37, Uttar Pradesh 201301",28.5822158,77.3263767, Electric Consultant
9,Rishi Electricals,"Shop No: 21, Kama! Marg, Block H, Sector 22, Noida, Uttar Pradesh 201301",28.594629,77.354487, Electric Consultant
10,Ashok Electrician,"Shop-16, sethi arcade market,Sector 76, Sector 49, Noida, Uttar Pradesh 201301",28.564971,77.385194, Electric Consultant
