,Title,Address,Latitude,Longitude,Category
,Tution Class,"Dadri Main Rd, Goyal Colony, Salarpur Khadar, Sector 102, Noida, Uttar Pradesh 201304",28.5417432,77.3872802, Coaching Center
2,Prestigious Coaching..,"Goyal Colony, Salarpur Khadar, Sector 102, Noida, Uttar Pradesh 201304",28.5411035,77.3862724, Coaching Center
3,K.K. classes,"285, Gejha Rd, Bhangel, Salarpur Khadar, Sector 102, Noida, Uttar Pradesh 201304",28.5375733,77.3863829, Coaching Center
4,Raj Academy,"Goyal Complex Sunar Wali Gali Opp.P.N.B, Bhangel, Uttar Pradesh 201304",28.5418297,77.3882023, Coaching Center
5,Future Point Institute,"Vds market, near my book shop, Sector 110, Noida, Uttar Pradesh 201304",28.5350446,77.385972, Coaching Center
6,Raj Chopra maths cla,". G9PR-t6C2, Bhangel, Sector - 106, Noida, Uttar Pradesh",28.5355161,77.3910265, Coaching Center
7,SHARDA COMPUTER.,". Dadri Main Rd, Hosiery Complex, Block D, Sector 87, Noida, Uttar Pradesh",28.5332157,77.3916461, Coaching Center
8,AMRITSHALAACADE,", Mahindra complex, Dadri Main Rd, !Mange!, Sector - 106, Noida, Uttar Pradesh 201304",28.5412014,77.3884189, Coaching Center
9,Imperial Coaching C,"G9CM+WFC, Gejha, Sector 93, Noida, Uttar Pradesh 201394",28.5224114,77.3835851, Coaching Center
10,Galaxy coaching clas.,"39 D, Udyog Vihar, Swarnim Vihar, Sector 82, Noida, Uttar Pradesh 201304",28.5292321,77.3875409, Coaching Center
