#,Title,Address,latitude,longitude,Category
1,A square mall,"A square mall, Noida, Uttar Pradesh",28.5355161,77.3910265,Shopping mall
2,Shoppers Mall India,"1905, Cv02, Supertech Capetown, Sector 74, Noida, Uttar Pradesh",28.574463,77.3906082,Shopping mall
3,Suverdhanam Mall,"Vishwakarma Rd, F Block Sector 50, Noida, Uttar Pradesh 201304",28.5649987,77.3792335,Shopping mall
4,The Core Mall,"Plot CC1, Sushant Aquapolis, NH-24, Ghaziabad, Uttar Pradesh 201016",28.6297227,77.4421334,Shopping mall
5,Pacific Mall Jasola,"Jasola Metro Station, Delhi 110025",28.5381436,77.2830734,Shopping mall
6,"The X Mall, Sector-1...","Plot No- 3CA, Noida-Greater Noida Expy, Sector 129, Noida, Uttar Pradesh 201301",28.5001258,77.407709,Shopping mall
7,Ruhi Plaza,"F178Q+FG3, Batla House, Jamia Nagar, Okhla, New Delhi, Delhi 110025",28.5661597,77.2888516,Shopping mall
8,Shopping centres,"Flauz Khas, Chandni Chowk, New Delhi, Delhi 110049",28.5609877,77.2214851,Shopping mall
9,"DLF Mall of India, No","Plot No ? M, 03, Sector 18, Noida, Uttar Pradesh 201301",28.5673409,77.3211303,Shopping mall
10,DOWNTOWN COM...,"G9M5+H73, Sector 98, Noida, Uttar Pradesh 201303",28.5338804,77.3581696,Shopping mall
