#,Title,Address,latitude,longitude,Category
'I,LYCEUM COACHING ...,"Flat No 704, Tower 22, Lotus Boulevard, Sec 100, Noida, Uttar Pradesh 201304",28.5443119,77.3655193, Coaching Center
2,coaching center Gya...,"Suthiyana Gali No 1, Dadri Main Rd, Greater Noida, Uttar Pradesh 201306",28.5362955,77.4219765, Coaching Center
3,ABC Education's,"Tower Wali Galitthangel, Noida, Uttar Pradesh 201304",28.540909,77.387492, Coaching Center
4,Selection Academy c.,". B-1A, Kalyan Kunj, Barola, Dadri Main Rd, Sector 49, Noida, Uttar Pradesh 201301",28.5579099,77.3721672, Coaching Center
5,Carrier point,"G9C8+CG6, Sahaour Goberdhanpur, Goberdhanpur, Sultanpur Village, Noida, Uttar Pradesh",28.5210378,77.3662628, Coaching Center
6,BEST IAS COACHING,"G9GF+323, Parx Laureate, Sector 108, Noida, Uttar Pradesh",28.525144,77.372535, Coaching Center
7,CAREER + Academy ...,"0-602, Blossom County, Logix Blossom County, Sector 137, Noida, Uttar Pradesh 201305",28.5102134,77.4138601, Coaching Center
8,Mission Coaching CI...,"Yamaha Vihar Colony, Natthu Colony, Baraula, Sector 49, Noida, Uttar Pradesh 201301",28.5586793,77.3739874, Coaching Center
9,VISHALS ACADEMY,"Floor, Sector 93, 201304, 41, Grand Trunk Rd, Islam Nagar Village, Shalimar Garden, Noida, U",28.5224559,77.3863629, Coaching Center
