#,Title,Address,latitude,longitude,Category
1,A ONE COACHING C...,"A-31, Rajput Colony, Natthu Colony, Baraula, Sector 49, Noida, Uttar Pradesh 201301",28.5621915,77.374054,Coaching Center
2,Career coaching,"18-A, Sector 100, Noida, Uttar Pradesh 201301",28.5454732,77.3709963,Coaching Center
3,Dls Coaching Center,"Dadri Main Rd, Goya! Colony, Salarpur Khadar, Sector 102, Noida, Uttar Pradesh 201304",28.5413509,77.387865,Coaching Center
4,creative minds coach,". H95H+37C, Shatabdi Vihar, Sector 101, Noida, Uttar Pradesh",28.5576531,77.3781242,Coaching Center
5,saraswati Coaching c.,"Bhangel, Salarpur Khadar, Sector 102, Noida, Uttar Pradesh 201304",28.5418297,77.3882023,Coaching Center
6,Kuldeep coaching ce.,". Gr, Near SBI Bank devla main dadri road greater noida, Noida, Uttar Pradesh 201306",28.5362955,77.4219765,Coaching Center
7,DINESH SIR CLASSES,"G9V0+11-18, Bhangel, Salarpur Khadar, Sector 102, Noida, Uttar Pradesh",28.5440288,77.388994,Coaching Center
8,Prime coaching center,"Main Gate Rd, Bhangel, Salarpur Khadar, Salarpur, Noida, Uttar Pradesh 201304",28.5428444,77.3872903,Coaching Center
9,Raj coaching centre ...,"Yakubpur, Sector 83, Noida, Uttar Pradesh 201305",28.5253416,77.4044008,Coaching Center
10,Basu classes,"Natthu Colony, Baraula Mahavir enclave, opposite to dorninoz, Sector 49, Noida, Uttar Prade...",28.5562367,77.374128,Coaching Center
