#,Title,Address,latitude,longitude,Category
1,Tanya Cuisine,"Noida Special Economy Zone, Block A Sector 81, Noida, Uttar Pradesh 201305",28.5353884,77.3964242,Restaurant
2,Chicken Chaupal  Ta.,". Awana Market Gejha Rd near Kapil hospital,Noida College, Sector 110, Noida, Uttar Pradesh",28.5369397,77.3864458,Restaurant
3,ANAL! SWEETS,"9643370449, 9643070449 9643070449 9643070449 9643070449 9643070449 9643070449 9643070449 9..",28.5359025,77.3920128,Restaurant
4,Ek Bta Do,"sec 125 monotype building, Noida, Uttar Pradesh",28.5355161,77.3910265,Restaurant
5,The Spicy Kitchen,"Gejha Rd, opposite Yatharth Hospital, Lotus Panache, Sector 110, Noida, Uttar Pradesh 201304",28.5322452,77.3849893,Restaurant
6,Shaan-E-Kareem Hotel,"Dadri Main Road, Salarpur, Bhangel, Phase-2, Noida, Uttar Pradesh 201305",28.5378467,77.3896521,Restaurant
7,Kurrybox,"G9PR+6C2, Bhangel, Sector - 106, Noida, Uttar Pradesh",28.5355161,77.3910265,Restaurant
8,Sadab Chiken Bilyani,"Shop Number-1, Dharam Iota, Main Dadri Road Besidee HDFC Bank Warsha, Sector- 82, Noida, Uttar Pr",28.5372174,77.3903001,Restaurant
9,Chauhan Fast Foods .,"Ravi Pardhan Mkt, Ghejha Road Bhangel, Ram Lila, opp. Maharishi Ashram, Sector 110, Noida, Uttar Prod",28.5350902,77.3859135,Restaurant
10,McDonald's,"G9PR+6C2, Bhangel, Sector - 106, Noida, Uttar Pradesh",28.5355161,77.3910265,Restaurant
