#,Title,Address,latitude,longitude,Category
1,"Noida Electricians, El.","i Main Dadri Road Salarpur Sector 101, Noida, Uttar Pradesh 201304",28.5489865,77.380148,Electric Consultant
2,Sachin Electrician &,"B-07, Road no. 3, Salarpur Khadar, Sector 102, Noida, Uttar Pradesh 201304",28.5591125,77.3818259,Electric Consultant
3,Sachin Electrician Plu.,". B 07, Salarpur, Sector 102, Noida, Uttar Pradesh 201501",28.5455399,77.3869732,Electric Consultant
4,Electrician 24hrs serv.,". Sector 101, Noida, Uttar Pradesh 201304",28.5538,77.379115,Electric Consultant
5,Prime Electricals,"E-168,Sharma MarketSector-7,Near By Panchrnukhi Flanuman Mandir Bhangel, Sector - 19 A, Sector - 106, Noida,",28.536435,77.3917735,Electric Consultant
6,Perth Electricals,"Shop No-28, F.S Complex, Main Dadri Road, Bhangel Phase-II, Varsha Dharam Kanta, Noida, Uttar Pradesh 201304",28.5359025,77.3920128,Electric Consultant
7,Sai Sona Electrician a..,"Hazipur, Sector 104, Noida, Uttar Pradesh 201304",28.5371667,77.365571,Electric Consultant
8,Vishnu Electricals in ...,"Ground Floor, C5, Sector - 3-4, Noida, Uttar Pradesh 201307",28.582029,77.363281,Electric Consultant
9,Aditya Enterprises i-,". Bhangel, Sector - 106, Noida, Uttar Pradesh",28.5355161,77.3910265,Electric Consultant
10,Sachin Electrician an,"Brahmaputra Market, Sector 29, Noida, Uttar Pradesh 201309",28.5692502,77.3344571,Electric Consultant
