,Title,Address,Latitude,Longitude,Category
1,Tulip Malls,"C-11, Block A, Sector 48, Noida, Uttar Pradesh 201303",28.5578073,77.3672716,Shopping mall
2,SPECTRUM METRO ...,"A-1, Block A, Sector 75, Noida, Uttar Pradesh 201301",28.5774695,77.3783894,Shopping mall
3,Living Style Mall,"21-c European Education World, Opposite Sarita Vihar, Living Style Mall Jasola, Pocket 6, Jasola V..",28.541168,77.2970953,Shopping mall
4,future mall,"Unnamed Road, Khora Colony, Sector 62A, Noida, Uttar Pradesh 201309",28.6136914,77.3542254,Shopping mall
5,Logic mall,"Unnamed Road, Goya! Colony, Salarpur Khadar, Sector 102, Noida, Uttar Pradesh 201304",28.5412608,77.3857382,Shopping mall
6,Senior Mall,"H8CC+MX8, K Block. Pocket E, Sector 18, Noida, Uttar Pradesh 201301",28.571667,77.3224725,Shopping mall
7,Elixir Mall,"A-91, Block D, Sector 44, Noida, Uttar Pradesh 201301",28.560742,77.3396554,Shopping mall
8,TOT MALL MARKET ...,"197C+MJC, C Block, Phase 2, Industrial Area, Sector 62, Noida, Uttar Pradesh 201301",28.6141179,77.3715056,Shopping mall
9,Earth Saphire Shoppi.,"Knowledge Park V, Tusyana, Uttar Pradesh 201306",28.552761,77.4729484,Shopping mall
10,Mall Fountain,"G6H9+R41, Saket District Centre, District Centre, Sector 6, Saket, New Delhi, Delhi 110017",28.5295907,77.217777,Shopping mall
