,Title,Address,Latitude,Longitude,Category
1,Education Point,"G9QP+RPG, Goyal Colony, Salarpur Khadar, Sector 102, Noida, Uttar Pradesh",28.5395161,77.3869451, Coaching Center
2,Creative Tutions & C..,"Gejha, Sector 93, Noida, Uttar Pradesh 201301",28.5231201,77.3855839, Coaching Center
3,Ved Academy,"Above Bhagwati Traders, Goel Colony, Gejha Rd, Bhangel, Noida, Uttar Pradesh 201304",28.5398815,77.386875, Coaching Center
4,PACE ACADEMY,"1st Floor, Rajveer Market, Gejha Rd, opp. Vishal Mega Mart, Bhangel, Noida, Uttar Pradesh 2",28.5405717,77.3873036, Coaching Center
5,VIDWAN study Point,"Dadri Main Rd, Goyal Colony, Salarpur Khadar, Sector 102, Noida, Uttar Pradesh 201304",28.5447734,77.3844363, Coaching Center
6,Aim achievers,"G9VP,W04, Bhangel, Salarpur Khadar, Sector 102, Noida, Uttar Pradesh",28.5447584,77.38699, Coaching Center
7,IMS,"A- 8, IMS Campus, Asian Highway 2, Block A, Sector 62, Noida, Uttar Pradesh 201303",28.5359025,77.3920128, Coaching Center
8,Global Coaching Instr..,"1, Dadri Main Rd, Bhangel, Salarpur Khadar, Sector 102, Noida, Uttar Pradesh 201304",28.542817,77.385967, Coaching Center
9,Ravi Purwar Coachin...,"Salarpur Khadar, Salarpur, Noida, Uttar Pradesh 201304",28.5474483,77.3848626, Coaching Center
10,PISO COACHING CL..,"Nagla Charan Dass, Block A, Phase-2, Noida, Uttar Pradesh 201305",28.5402073,77.4069308, Coaching Center
