8,Title,Address,latitude,longitude,Category
2,Khawaja Boring House,"MAIN ROAD, NEAR YADAV HOTEL OPP.HOSHIYARPUR, SEC., Sector 52, Noida, ...",28.584725,77.368931,Plumber
3,Election & plumber,"B128, Gali Number 3, near soni morden, Ajay Nagar, F Block, Islampur, Ismailpu...",28.4910476,77.3421391,Plumber
4,Shri Plumbing Servic...,"Second Floor - S-4, Plot No- 761, Sector 5, Vaishali, Ghaziabad, litter Pradesh 2...",28.6455816,77.3456074,Plumber
5,Pran Sanitary,"19PF+5M9, Phase 1, Ashok Vihar, Delhi, Uttar Pradesh 201014",28.6354076,77.3742315,Plumber
6,Plumber technician,"RC 18, Khora Colony, Indirapuram, Ghaziabad, Uttar Pradesh 201301",28.6264213,77.3418348,Plumber
7,Vishnu Plumbing Co.,"1290,gali no.49E, Block E, Molar band Extension, Badarpur, New Delhi, De...",28.498989,77.310733,Plumber
8,Home plumbing sery,"Sudamapuri Rd, Biharipura, Biharipur Village, Nai Basti Dundahera, Ghaziabad, ...",28.6285217,77.4184094,Plumber
9,Manu plumber servic,". front LK.Sanitation, A 271, Nithari Village, Sector 31, Noida, Uttar Pradesh 2013...",28.5768613,77.3451004,Plumber
10,Swami plumber,"A-52, Karen Vihar, Shiv Park, Khora Colony, Sector 62A, Ghaziabad, Uttar Prudes...",28.618734,77.343373,Plumber
