#,Title,Address,latitude,longitude,Category
1,NXT Electrician,"8-148, Block B, Sector 51, Noida, Uttar Pradesh 201303",28.5757572,77.3645259,Electric Consultant
2,M.KSHARMA ELECT,"D-8, Khanpur Colony, Block D,11 Colony, Khanpur, New Delhi, Delhi 110062",28.5138395,77.2272458,Electric Consultant
3,Electrician fridabad,"H.no1, 289, Shastri Colony, Old Faridabad, Faridabad, Haryana",28.4251719,77.3174667,Electric Consultant
4,Amit Sharma Electrici,". bhoop Singh Saini market first floor Vishwakarma Haldonl, Greater Noida, Uttar Pradesh 201306",28.5383653,77.4376107,Electric Consultant
5,Sat Guru Electricals,"Dadri Main Rd, D Block, Sector 49, Noida, Uttar Pradesh 201304",28.559976,77.37022,Electric Consultant
6,Kuldeep electrician,"Sector 75, shopping market, Haryana 121002",28.3713742,77.3545045,Electric Consultant
7,fl< ELECTRICIAN,"Kasna, Greater Noida, Uttar Pradesh 201310",28.4376839,77.54124,Electric Consultant
8,MK Electrician,"Main, Dadri Main Rd, Kulesra, Greater Noida, Uttar Pradesh 201308",28.5330487,77.4404419,Electric Consultant
9,Excel Electrician,"E-120, E Block, Pocket E, Sector 20, Noida, Uttar Pradesh 201301",28.5830806,77.3347009,Electric Consultant
10,Electrician cr park,"Kali Mandir, Market no 4, Chittaranjan Park, New Delhi, Delhi 110019",28.5384654,77.24699,Electric Consultant
