#,Title,F  F  Address,latitude,longitude,Category
1,Hari Electrician,"A 12, Deepak Vihar, Shital Vihar, Khora Colony, Sector 62, Noida, Uttar Pradesh 201301",28.6099487,77.3528559,Electric Consultant
2,Raja Auto Electrician,"Shop No-2, Dadri Road Salarpur, Chowk, Sector 102, Noida, Uttar Pradesh 201304",28.5442901,77.3849347,Electric Consultant
3,Jay electrician,"GOWRT968, Block A, Salarpur, Noida, Uttar Pradesh",28.5459127,77.3905854,Electric Consultant
4,Raj plumber electrici.,"CHAUDHARY MARKET, near Gopinath Sanitation, Nithari Village, Sector 31, Noida, Uttar Pradesh 201301",28.5758817,77.3403652,Electric Consultant
5,Dilip electrician,"Sector 49 barola, near metro station 76 Hanumanth electricals, Noida, Uttar Pradesh 201301",28.5620719,77.3797366,Electric Consultant
6,Akash Electrician,"L-109, Gali Number 3, Part -1, Laitpur Extension, Badarpur, New Delhi, Delhi 110044",28.5040948,77.332186,Electric Consultant
7,Shiv Electrical,"Khan Market, Main, Dadri Main Rd, Baraula, Sector 49, Noida, Uttar Pradesh 201301",28.5603954,77.3696625,Electric Consultant
8,P K DAS Electrician S..,"Shiv Mandir Rd, A-Block, Sector 31, Noida, Uttar Pradesh 201301",28.5753007,77.3426062,Electric Consultant
9,Balram Plumbing an,"B-11, near SW bank B Block, Sector 65, Noida, Uttar Pradesh 201309",28.6124902,77.3857204,Electric Consultant
10,Ajit Plumber and ele...,"House no. 1, Near Govt School Nithari Village. Sector-31 Delhi, NCR, Noida, Uttar Pradesh 201301",28.5770708,77.3418006,Electric Consultant
